year,title,url
2017,Knicks Keep 'Em Dump 'Em,http://interactive.nydailynews.com/poll/keep-em-dump-em/knicks-2017/
2016,Giants Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/12/2016-giants-keep-em-dump-em/
2016,Mets Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/10/2016-mets-keep-em-dump-em/
2016,Yankees Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/10/2016-yankees-keep-em-dump-em/
2016,Jets Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/12/2016-jets-keep-em-dump-em/
2016,Rangers Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/04/rangers-keep-em-dump-em/
2016,Knicks Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/04/knicks-keep-em-dump-em/
2015,Giants Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2015/12/giants-keep-em-dump-em/
2015,Mets Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2015/11/mets-keep-em-dump-em/index.html
2015,Yankees Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2015/10/yankees-keep-em-dump-em/
2015,Jets Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2016/01/jets-keep-em-dump-em/
2015,Rangers Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2015/05/rangers-keep-em-dump-em/
2015,Knicks Keep 'Em Dump 'Em,http://interactive.nydailynews.com/2015/04/knicks-keep-em-dump-em/
